P_ID,amenity,geometry,Latitude,Longitude,grid number,Slow,Fast,Rapid,Total
0,fuel,POINT (-3.049649493827101 56.47499388394819),56.47499388,-3.049649507,91,0,0,0,0
1,fuel,POINT (-3.044099899167014 56.47074608721983),56.47074609,-3.044099912,104,0,0,0,0
2,fuel,POINT (-3.034162030561455 56.47764392966084),56.47764393,-3.034162043,119,0,0,0,0
3,fuel,POINT (-2.995735687053973 56.48227410002016),56.4822741,-2.9957357,176,0,0,0,0
4,fuel,POINT (-2.984155487043202 56.4873704000239),56.4873704,-2.9841555,191,0,0,0,0
5,fuel,POINT (-2.979106687049753 56.4536426999901),56.4536427,-2.9791067,198,0,0,0,0
6,fuel,POINT (-2.9776499870463 56.46097389999711),56.4609739,-2.97765,200,0,0,0,0
7,fuel,POINT (-2.963304387034162 56.46350399999802),56.463504,-2.9633044,228,0,0,0,0
8,fuel,POINT (-2.951757006533383 56.48044910397456),56.4804491,-2.95175702,246,0,0,0,0
9,fuel,POINT (-2.950345410017569 56.48513834910315),56.48513835,-2.950345423,247,0,0,0,0
10,fuel,POINT (-2.950925687016429 56.48888100002161),56.488881,-2.9509257,248,0,0,0,0
11,fuel,POINT (-2.928577532725101 56.47675739308125),56.47675739,-2.928577546,287,0,0,0,0
12,fuel,POINT (-2.848473686941031 56.47224079999363),56.4722408,-2.8484737,412,0,0,0,0
13,parking,POINT (-3.063638961562592 56.46604327962736),56.46604328,-3.063638974,61,0,0,0,0
15,parking,POINT (-3.059868197428415 56.46784986923694),56.46784987,-3.05986821,75,0,0,0,0
16,parking,POINT (-3.058401837108398 56.46746625001262),56.46746625,-3.05840185,75,0,0,0,0
18,parking,POINT (-3.059009868160828 56.47055015839322),56.47055016,-3.059009881,76,0,0,0,0
19,parking,POINT (-3.059802773011697 56.47006250697524),56.47006251,-3.059802786,76,0,0,0,0
20,parking,POINT (-3.054607434177171 56.47246150061074),56.4724615,-3.054607447,76,0,0,0,0
21,parking,POINT (-3.058887024241733 56.46833812922551),56.46833813,-3.058887037,76,0,0,0,0
22,parking,POINT (-3.054299174203556 56.47313046012312),56.47313046,-3.054299187,77,0,0,0,0
23,parking,POINT (-3.049985387104206 56.45939700000373),56.459397,-3.0499854,88,0,0,0,0
24,parking,POINT (-3.050693587104651 56.45977740000419),56.4597774,-3.0506936,88,0,0,0,0
26,parking,POINT (-3.046891287099621 56.46621650001012),56.4662165,-3.0468913,89,0,0,0,0
27,parking,POINT (-3.046157275057056 56.4672330655042),56.46723307,-3.046157288,89,0,0,0,0
28,parking,POINT (-3.044663260091732 56.46503968300035),56.46503968,-3.044663273,89,0,0,0,0
31,parking,POINT (-3.046760172526233 56.46565344555493),56.46565345,-3.046760185,89,0,0,0,0
32,parking,POINT (-3.047461487569537 56.46570138783709),56.46570139,-3.0474615,89,0,0,0,0
33,parking,POINT (-3.048535927705053 56.46687730707249),56.46687731,-3.048535941,89,0,0,0,0
34,parking,POINT (-3.047943717146179 56.46641202282747),56.46641202,-3.04794373,89,0,0,0,0
35,parking,POINT (-3.048193830632816 56.46586080783275),56.46586081,-3.048193844,89,0,0,0,0
36,parking,POINT (-3.049170136390567 56.46618239005506),56.46618239,-3.049170149,89,0,0,0,0
37,parking,POINT (-3.046234286949974 56.46756209765675),56.4675621,-3.0462343,89,0,0,0,0
38,parking,POINT (-3.047488843640414 56.46788421749243),56.46788422,-3.047488857,89,0,0,0,0
39,parking,POINT (-3.049002581772053 56.47133228772908),56.47133229,-3.049002595,90,0,0,0,0
40,parking,POINT (-3.049572257611515 56.47092376271019),56.47092376,-3.049572271,90,0,0,0,0
41,parking,POINT (-3.047470736111526 56.47169632109154),56.47169632,-3.047470749,90,0,0,0,0
42,parking,POINT (-3.049633514318001 56.46803411923985),56.46803412,-3.049633527,90,0,0,0,0
43,parking,POINT (-3.04807983709986 56.46847420001244),56.4684742,-3.04807985,90,0,0,0,0
44,parking,POINT (-3.049187742371133 56.46811767026757),56.46811767,-3.049187755,90,0,0,0,0
45,parking,POINT (-3.048641173908971 56.47498747000321),56.47498747,-3.048641187,91,0,0,0,0
46,parking,POINT (-3.047491970056127 56.47522446664828),56.47522447,-3.047491983,91,0,0,0,0
47,parking,POINT (-3.051344995776593 56.47405923666103),56.47405924,-3.051345009,91,0,0,0,0
48,parking,POINT (-3.040213140423086 56.45449182375224),56.45449182,-3.040213153,101,0,0,0,0
49,parking,POINT (-3.035684687092531 56.46036010000307),56.4603601,-3.0356847,102,0,0,0,0
50,parking,POINT (-3.042336270465765 56.46238811452734),56.46238811,-3.042336283,102,0,0,0,0
51,parking,POINT (-3.036682532223923 56.46282451143212),56.46282451,-3.036682545,102,0,0,0,0
52,parking,POINT (-3.042725331076857 56.46339453057062),56.46339453,-3.042725344,103,0,0,0,0
53,parking,POINT (-3.040816661754146 56.46512081767298),56.46512082,-3.040816675,103,0,0,0,0
54,parking,POINT (-3.04036726514152 56.4652329354767),56.46523294,-3.040367278,103,0,0,0,0
55,parking,POINT (-3.039972987094377 56.46534575000847),56.46534575,-3.039973,103,0,0,0,0
56,parking,POINT (-3.039605831694006 56.46546386577496),56.46546387,-3.039605845,103,0,0,0,0
57,parking,POINT (-3.038792425030988 56.46545896336931),56.46545896,-3.038792438,103,0,0,0,0
58,parking,POINT (-3.040368688265779 56.465233455707),56.46523346,-3.040368701,103,0,0,0,0
59,parking,POINT (-3.038483021964263 56.46707842316384),56.46707842,-3.038483035,103,0,0,0,0
60,parking,POINT (-3.036172988743241 56.46322804870758),56.46322805,-3.036173002,103,0,0,0,0
61,parking,POINT (-3.036501880566577 56.46341415377812),56.46341415,-3.036501893,103,0,0,0,0
62,parking,POINT (-3.04433874975972 56.46544277703575),56.46544278,-3.044338763,103,0,0,0,0
63,parking,POINT (-3.043304122307823 56.47099224606602),56.47099225,-3.043304135,104,0,0,0,0
64,parking,POINT (-3.039139810357827 56.47235669911466),56.4723567,-3.039139823,104,0,0,0,0
65,parking,POINT (-3.040772350117752 56.4774329490328),56.47743295,-3.040772363,105,0,0,0,0
66,parking,POINT (-3.037038314003011 56.47317811761834),56.47317812,-3.037038327,105,0,0,0,0
67,parking,POINT (-3.039650829256285 56.48113838990191),56.48113839,-3.039650842,106,0,0,0,0
68,parking,POINT (-3.043560270654456 56.48520370894382),56.48520371,-3.043560284,107,0,0,0,0
69,parking,POINT (-3.041226264448168 56.48385852124473),56.48385852,-3.041226277,107,0,0,0,0
70,parking,POINT (-3.040052977358733 56.48375310124738),56.4837531,-3.04005299,107,0,0,0,0
71,parking,POINT (-3.038840669994496 56.4841919137164),56.48419191,-3.038840683,107,0,0,0,0
72,parking,POINT (-3.042662621880085 56.49602658630295),56.49602659,-3.042662635,109,0,0,0,0
73,parking,POINT (-3.02744473708805 56.45373674999562),56.45373675,-3.02744475,115,0,0,0,0
74,parking,POINT (-3.034242538427789 56.45387892470678),56.45387892,-3.034242551,115,0,0,0,0
75,parking,POINT (-3.033400662256021 56.453666351005),56.45366635,-3.033400675,115,0,0,0,0
76,parking,POINT (-3.033672215751953 56.45423094751097),56.45423095,-3.033672229,115,0,0,0,0
77,parking,POINT (-3.034778687091857 56.46020570000282),56.4602057,-3.0347787,116,0,0,0,0
78,parking,POINT (-3.034288487091527 56.46002230000258),56.4600223,-3.0342885,116,0,0,0,0
79,parking,POINT (-3.035352441246937 56.46305876286977),56.46305876,-3.035352454,116,0,0,0,0
80,parking,POINT (-3.034214090159564 56.46295826155874),56.46295826,-3.034214103,116,0,0,0,0
82,parking,POINT (-3.03494948936801 56.46415765587675),56.46415766,-3.034949502,117,0,0,0,0
83,parking,POINT (-3.032586715393592 56.46460988288645),56.46460988,-3.032586728,117,0,0,0,0
87,parking,POINT (-3.035470114350598 56.47754873323155),56.47754873,-3.035470127,119,0,0,0,0
91,parking,POINT (-3.035712071121514 56.48704619580487),56.4870462,-3.035712084,121,0,0,0,0
92,parking,POINT (-3.032792539416184 56.48443089771312),56.4844309,-3.032792552,121,0,0,0,0
93,parking,POINT (-3.031290067207003 56.48402930617521),56.48402931,-3.03129008,121,0,0,0,0
94,parking,POINT (-3.028093290004356 56.49740474443342),56.49740474,-3.028093303,123,0,0,0,0
95,parking,POINT (-3.026187237087003 56.45388604999561),56.45388605,-3.02618725,129,0,0,0,0
96,parking,POINT (-3.024658645433904 56.45556772226028),56.45556772,-3.024658658,129,0,0,0,0
97,parking,POINT (-3.021831588025445 56.45371750961493),56.45371751,-3.021831601,129,0,0,0,0
98,parking,POINT (-3.021718835532464 56.48187961831313),56.48187962,-3.021718848,134,0,0,0,0
99,parking,POINT (-3.023821144706143 56.48078813255485),56.48078813,-3.023821158,134,0,0,0,0
100,parking,POINT (-3.023208493760014 56.48195564107347),56.48195564,-3.023208507,134,0,0,0,0
101,parking,POINT (-3.024790184373596 56.48213801040147),56.48213801,-3.024790197,134,0,0,0,0
102,parking,POINT (-3.014599328336685 56.45586195364368),56.45586195,-3.014599341,143,0,0,0,0
103,parking,POINT (-3.010292800956956 56.45363655125273),56.45363655,-3.010292814,143,0,0,0,0
104,parking,POINT (-3.015860689854919 56.46236714321811),56.46236714,-3.015860703,144,0,0,0,0
106,parking,POINT (-3.011664309093877 56.46804438431585),56.46804438,-3.011664322,145,0,0,0,0
107,parking,POINT (-3.013035126280976 56.47209846636402),56.47209847,-3.013035139,146,0,0,0,0
108,parking,POINT (-3.010563664135647 56.4717284153367),56.47172842,-3.010563677,146,0,0,0,0
109,parking,POINT (-3.011251210603661 56.47169222154785),56.47169222,-3.011251224,146,0,0,0,0
110,parking,POINT (-3.010869962460045 56.47245298987484),56.47245299,-3.010869975,146,0,0,0,0
111,parking,POINT (-3.011505429400571 56.4725637499019),56.47256375,-3.011505442,146,0,0,0,0
112,parking,POINT (-3.013562057956047 56.47329952851339),56.47329953,-3.013562071,147,0,0,0,0
114,parking,POINT (-3.01240476046485 56.48309642095948),56.48309642,-3.012404773,149,0,0,0,0
116,parking,POINT (-3.007006494680371 56.45420735626885),56.45420736,-3.007006508,157,0,0,0,0
117,parking,POINT (-3.004274085329449 56.47314126395663),56.47314126,-3.004274098,160,0,0,0,0
118,parking,POINT (-3.006511853215568 56.47343029629891),56.4734303,-3.006511866,161,0,0,0,0
119,parking,POINT (-3.003508612753365 56.47426331443154),56.47426331,-3.003508626,161,0,0,0,0
120,parking,POINT (-3.004483537063536 56.47386225001285),56.47386225,-3.00448355,161,0,0,0,0
121,parking,POINT (-3.001722827469099 56.4795278286454),56.47952783,-3.00172284,162,0,0,0,0
122,parking,POINT (-3.006744621247655 56.49012604516906),56.49012605,-3.006744634,164,0,0,0,0
123,parking,POINT (-2.991472287058346 56.45746399999524),56.457464,-2.9914723,171,0,0,0,0
124,parking,POINT (-2.991211502602494 56.45670172661993),56.45670173,-2.991211516,171,0,0,0,0
125,parking,POINT (-2.992555406967475 56.45542336960006),56.45542337,-2.99255542,171,0,0,0,0
126,parking,POINT (-2.993193168965925 56.456610962722),56.45661096,-2.993193182,171,0,0,0,0
127,parking,POINT (-2.991415322536567 56.46017082916963),56.46017083,-2.991415335,172,0,0,0,0
128,parking,POINT (-2.996276010360621 56.4613499475013),56.46134995,-2.996276023,172,0,0,0,0
129,parking,POINT (-2.99692413431303 56.46126041948681),56.46126042,-2.996924147,172,0,0,0,0
130,parking,POINT (-2.995156918063422 56.47547419954508),56.4754742,-2.995156931,175,0,0,0,0
131,parking,POINT (-2.995318030448772 56.47588012069522),56.47588012,-2.995318043,175,0,0,0,0
132,parking,POINT (-2.996327698628215 56.47497400038733),56.474974,-2.996327712,175,0,0,0,0
133,parking,POINT (-2.996040665966926 56.47498631829183),56.47498632,-2.996040679,175,0,0,0,0
134,parking,POINT (-2.995106007174173 56.47736781569508),56.47736782,-2.99510602,175,0,0,0,0
135,parking,POINT (-2.996203212168123 56.4772665858868),56.47726659,-2.996203225,175,0,0,0,0
136,parking,POINT (-2.994358019095757 56.48106994724623),56.48106995,-2.994358032,176,0,0,0,0
137,parking,POINT (-2.994351085838674 56.48250089418928),56.48250089,-2.994351099,176,0,0,0,0
138,parking,POINT (-2.993010682219039 56.48141163639998),56.48141164,-2.993010695,176,0,0,0,0
139,parking,POINT (-2.993930666635965 56.4816905640554),56.48169056,-2.99393068,176,0,0,0,0
140,parking,POINT (-2.997229065081013 56.48199072598698),56.48199073,-2.997229078,176,0,0,0,0
142,parking,POINT (-3.000520978110146 56.48034702790817),56.48034703,-3.000520991,176,0,0,0,0
143,parking,POINT (-2.999931666007568 56.47926389413584),56.47926389,-2.999931679,176,0,0,0,0
144,parking,POINT (-2.995994984290147 56.48472901699015),56.48472902,-2.995994997,177,0,0,0,0
145,parking,POINT (-2.99313614961503 56.48942317791502),56.48942318,-2.993136163,178,0,0,0,0
146,parking,POINT (-2.986573628657317 56.45280821747222),56.45280822,-2.986573642,184,0,0,0,0
147,parking,POINT (-2.985352610642077 56.45200206923516),56.45200207,-2.985352624,184,0,0,0,0
148,parking,POINT (-2.986433222203429 56.45647709840792),56.4564771,-2.986433235,185,0,0,0,0
149,parking,POINT (-2.984902642980384 56.45787048228134),56.45787048,-2.984902656,185,0,0,0,0
150,parking,POINT (-2.988305793360621 56.45846151120838),56.45846151,-2.988305806,185,0,0,0,0
151,parking,POINT (-2.986078517593143 56.45850500026069),56.458505,-2.986078531,185,0,0,0,0
152,parking,POINT (-2.98633565402001 56.45472848219924),56.45472848,-2.986335667,185,0,0,0,0
153,parking,POINT (-2.984464598232293 56.45602191538079),56.45602192,-2.984464611,185,0,0,0,0
154,parking,POINT (-2.987489137055385 56.45684559999417),56.4568456,-2.98748915,185,0,0,0,0
155,parking,POINT (-2.984290155389708 56.45541694403015),56.45541694,-2.984290168,185,0,0,0,0
156,parking,POINT (-2.985183287051683 56.46283649999981),56.4628365,-2.9851833,186,0,0,0,0
157,parking,POINT (-2.984905687052228 56.46039024999739),56.46039025,-2.9849057,186,0,0,0,0
158,parking,POINT (-2.985342415866738 56.46102325992666),56.46102326,-2.985342429,186,0,0,0,0
159,parking,POINT (-2.985731207276566 56.46175589547527),56.4617559,-2.98573122,186,0,0,0,0
160,parking,POINT (-2.985452315045463 56.46142448881307),56.46142449,-2.985452328,186,0,0,0,0
161,parking,POINT (-2.985445071798948 56.46160974000401),56.46160974,-2.985445085,186,0,0,0,0
162,parking,POINT (-2.985301530939676 56.46186228048319),56.46186228,-2.985301544,186,0,0,0,0
163,parking,POINT (-2.984842137051767 56.46170534999869),56.46170535,-2.98484215,186,0,0,0,0
164,parking,POINT (-2.984853928663671 56.46064205567918),56.46064206,-2.984853942,186,0,0,0,0
165,parking,POINT (-2.983514088851515 56.46047249849814),56.4604725,-2.983514102,186,0,0,0,0
166,parking,POINT (-2.983105054317386 56.46058292355837),56.46058292,-2.983105067,186,0,0,0,0
167,parking,POINT (-2.983780070916562 56.46356126035721),56.46356126,-2.983780084,186,0,0,0,0
